"","NCT.Number","Study.Title","Study.Status","Brief.Summary","Study.Results","Conditions","Interventions","Primary.Outcome.Measures","Sex","Age","Phases","Enrollment","Funder.Type","Study.Type","Study.Design","Start.Date","Primary.Completion.Date","Completion.Date","First.Posted","Results.First.Posted","Last.Update.Posted","Locations","type_intervention"
"1","NCT04635618","Psychotherapy Strategies for the Treatment of Professionals and Students From Essential Services With High Levels of Emotional Distress in the Context of COVID-19","UNKNOWN","The study consists in a pragmatic superiority randomized controlled trial comparing different strategies of psychotherapy for professionals and students from essential services with high levels of emotional distress during the COVID-19 pandemic in Brazil. Therapeutic strategies to be evaluated are Brief Cognitive Behavioral Telepsychotherapy, Brief Interpersonal Telepsychotherapy and Telepsychoeducation, as an active control.

Note: This study was approved by the Ethics and Research Committee of the Hospital de Clínicas de Porto Alegre and is originally registered at Plataforma Brasil, a Brazilian study registration platform (under CAAE: 30608420.5.0000.5327). Recruitment began in May 28th 2020.","NO","Mental Disorder|COVID|Emotional Distress|Depression|Anxiety|Irritable Mood","BEHAVIORAL: Cognitive Behavioral Brief-Telepsychotherapy|BEHAVIORAL: Brief Interpersonal Telepsychotherapy|BEHAVIORAL: Telepsychoeducation","Symptom Reduction at 1-month, Proportion of participants with a 50% reduction in T-scores at 1-month in the scales Patient-Reported Outcomes Measurement Information System (PROMIS) of Depression, Anxiety and Anger that were scored above 70 at baseline., 1-month","ALL","CHILD, ADULT, OLDER_ADULT",NA,999,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2020-11-05","2021-07-13","2021-07-20","2020-11-19","","2020-11-19","Hospital de Clínicas de Porto Alegre, Porto Alegre, Rio Grande Do Sul, 90035-903, Brazil","behavioral"
"2","NCT03050918","Discharge Follow-up Phone Call Program","COMPLETED","The goal of this project is to quantify the impact of post-hospital discharge follow-up phone calls on hospital readmission, ED visits, patient satisfaction, and mortality in a general medicine inpatient population. We will obtain exploratory information on patient sub-groups at high risk for hospital readmission and on those experiencing high benefit from the follow-up phone call intervention. In addition, we will obtain data on discharge plan implementation assistance needed to support a successful transition from inpatient to outpatient care among those reached by the intervention phone call.","YES","Discharge Follow-up Phone Calls","BEHAVIORAL: Follow-up Phone Call","Number of Participants With In-patient Re-admissions, Number of participants with in-patient re-admissions, 30 days","ALL","ADULT, OLDER_ADULT",NA,3054,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH","2017-02-20","2017-09-28","2018-04-15","2017-02-13","2019-03-07","2019-07-29","Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States","behavioral"
"3","NCT02673918","The Breast Cancer Online Rehabilitation Program","COMPLETED","The investigators have developed an online rehabilitation platform to guide women in their home-based upper-body exercises after breast cancer surgery. The platform includes rehabilitation videos that will guide the women in performing home-based early post-surgery upper-body rehabilitation tailored for each individual.

The primary objective is to assess the feasibility and acceptability of a home-based rehabilitation program supported by a supplemental online platform for women after breast cancer surgery before conducting a larger pragmatic trial in the future. The feasibility of the platform will be tested in 11 municipalities in Denmark.","YES","Breast Cancer","OTHER: Home-based upper-body rehabilitation with online support","Recruitment Rate, This outcome represent the number and proportion (%) of eligible patients who consented to participate in the study. Recruitment was open for 10 weeks for participants in Part 1 and for 20 weeks for participants in Part 2., 10 weeks for part 1 and 20 weeks for part 2|Retention, Participants who are enrolled in the study but fail to complete the end of study assessment will be recorded as dropouts. Feasibility will be defined as a drop out of \<10%, 12 weeks|Number of Participants Reporting Being ""Very Satisfied"" or ""Somewhat Satisfied"" With the Program, At the end of the study data describing participant satisfaction will be collected to answers questions on acceptability. All participants in part 1 and part 2 will be given a questionnaire, delivered by Easy Research, and will be asked to rank various aspects of the intervention such as the home-based exercises supported by videos, mode of delivery, software, etc. ""as not at all satisfied"", ""not very satisfied"", ""somewhat satisfied"" or ""very satisfied"". Feasibility will be defined as \>75% of participants reporting they are ""very"" or ""somewhat satisfied"" with the intervention., 12 weeks|Capacity/ Resources, The amount of time spent with each participant during the standard upper-body assessments, instruction of the home-based intervention and assistance needed with using the website during the study period will be tracked. In addition, any additional appointments required to teach the home-based rehabilitation program or to assist in using the website will be recorded. This information will help to determine the resources needed to administer the online component of the home-based program on a larger scale to a broader group of participants. This data was only collected for Part 1., 12 weeks|Adherence, Participants in part 1 and part 2 were asked to perform the rehabilitation program at least four times weekly for the duration of the study (12 weeks). Adherence was calculated as the number and proportion of participants who reported in a follow-up questionnaire that they had performed four or more weekly sessions. As such, participants who reported to have completed the home-based rehabilitation program 4 times per week were categorized as having adhered to the program. Likewise, participants who reported to have completed the program 3 times or fewer per week were categorized as not having adhered to the program., 12 weeks","FEMALE","ADULT, OLDER_ADULT",NA,59,"OTHER","INTERVENTIONAL","Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2016-02","2016-12","2017-06","2016-02-04","2018-11-05","2019-12-13","Tranehaven, Charlottenlund, 2920, Denmark|Copenhagen Centre for Cancer and Health, Copenhagen, 2200, Denmark|Sundhedscenter Frederiksberg, Frederiksberg, 2000, Denmark|Lukas, Hellerup, 2900, Denmark|Træningscenteret Møllebo, Lyngby, 2800, Denmark|Furesø Kommunes Genoptræningscenter, Værløse, 3500, Denmark","other"
"4","NCT04185818","Citizen Science: The People's Trial: A Randomised Controlled Trial","UNKNOWN","The People's trial is an online pragmatic, randomised controlled trial to determine if reading a book in bed makes a difference to sleep in comparison to not reading a book in bed.","NO","Sleep","OTHER: Reading a book","Overall sleep quality, Sleep quality will be measured using the single item sleep quality scale (SQS) (Snyder et al 2018). The SQS is a self-administered questionnaire in which respondents rate overall quality of sleep over a 7-day recall period on a discretizing visual analogue scale from 0 to 10 (0 = terrible, 1-3 = poor, 4-6 = fair, 7-9 = good, and 10 = excellent), From time of randomisation- refers to sleep in the last 7 days only","ALL","ADULT, OLDER_ADULT",NA,500,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER","2019-12-04","2020-02-29","2020-04-01","2019-12-04","","2020-01-31","National University of Ireland Galway, Galway, Co. Galway, H91 TK33, Ireland","other"
"5","NCT03445819","Patella Fracture : A Randomized Controlled Trial","UNKNOWN","This is a multi-centre, randomized controlled trial comparing operative and non operative treatment for displaced patella fractures in elderly, low-demand patients.","NO","Patella Fracture|Aging","PROCEDURE: Group A: Surgical Treatment|OTHER: Group B: Conservative Treatment","Knee injury and Osteoarthritis Outcome Score (KOOS), A self-administered questionnaire that assesses five outcomes: pain, symptoms, activities of daily living, sport and recreation function, and knee-related quality of life. A normalized score (100 indicating no symptoms and 0 indicating extreme symptoms) is calculated for each subscale., 1 year after injury","ALL","OLDER_ADULT",NA,84,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2018-11-01","2022-12-31","2023-12-31","2018-02-26","","2021-06-18","London Health Sciences Centre, London, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada","procedure"
"6","NCT02458872","Impact of a Data-driven Monitor Alarm Reduction Strategy Implemented in Safety Huddles","COMPLETED","This is a pragmatic, paired, cluster-randomized controlled trial evaluating the impact of a safety huddle-based intervention on physiologic monitor alarm rates on pediatric inpatient units.","NO","Hospitalization","BEHAVIORAL: safety huddle alarm intervention","Change from baseline in the unit-wide rate of alarms per patient-day at 44 weeks, Baseline and 44 weeks","ALL","CHILD, ADULT, OLDER_ADULT",NA,77280,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH","2015-07","2016-05","2016-05","2015-06-01","","2017-06-02","Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States","behavioral"
"7","NCT05758272","Evaluation of a Workplace Smoking Cessation Program in Hong Kong (Phase VI)","ACTIVE_NOT_RECRUITING","This study aims to test, by a 2-arm RCT, the effectiveness of an intervention that includes mobile phone-supported simple physical exercise for smoking cessation in workplaces in Hong Kong.","NO","Smokers|Workplace|Exercise","BEHAVIORAL: mobile phone-based simple physical exercise reminder to help quit smoking|BEHAVIORAL: regular text-based intervention","Self-reported 7-day point-prevalence abstinence (PPA) at 6-months follow-up, Self-reported abstinence in the past 7 days at 6-months after treatment initiation, at 6-month after treatment initiation (3 months after the end of treatment)","ALL","ADULT, OLDER_ADULT",NA,646,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2023-01-01","2024-06-30","2024-12-30","2023-03-07","","2023-12-13","School of Nursing, The University of Hong Kong, Hong Kong, Hong Kong","behavioral"
"8","NCT04264572","Project MiNT: Assessing the Impact of Food & Video-Based Nutrition Education on Patients With Poorly Controlled Diabetes","RECRUITING","This pragmatic randomized controlled trial will assess the efficacy of medically tailored meals and medical nutrition therapy via telehealth on clinical outcomes for patients with poorly controlled type 2 diabetes. The goal of these interventions is to improve outcomes for patients with diabetes by impacting self-care behaviors and diet self-efficacy in the short and long term. This study leverages a unique health system and community group partnership to inform the utility of reimbursement for medically tailored meal programs and medical nutrition therapy, which would ultimately facilitate their scalability and sustainability within the healthcare system.","NO","Diabetes Mellitus, Type 2","OTHER: Medically Tailored Meals|BEHAVIORAL: Tele-Medical Nutrition Therapy (tele-MNT)","Change in hemoglobin A1C for patients with poorly controlled type 2 diabetes mellitus, Change in hemoglobin A1C for patients with poorly controlled type 2 diabetes mellitus who receive 1) medically tailored meals and 2) medically tailored meals + telehealth-delivered medical nutrition therapy compared to usual care, 6 months","ALL","ADULT, OLDER_ADULT",NA,600,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE","2020-01-21","2024-07-31","2025-01-31","2020-02-11","","2023-08-15","Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, 19107, United States","other"
"9","NCT01516801","A Pragmatic Trial of the Effect of a Mailed Patient Flyer About Prostate Specific Antigen (PSA) Testing Prior to an Annual Exam","COMPLETED","1. Does a one-page American College of Physicians educational flyer about the pros and cons of prostate cancer screening sent to men within two weeks of their scheduled annual health examinations in a general medicine clinic result in a different rate of prostate cancer screening than among men who were not sent the flyer?
2. Do patients find the flyer useful and understandable?

Context: The use of prostate specific antigen (PSA) screening for prostate cancer is controversial because of a lack of evidence that such screening saves lives when applied within a population and because such testing can lead to invasive downstream biopsies and aggressive treatment that is associated with a high risk of permanent side effects (e.g. impotence, incontinence). Almost all professional societies (American Cancer Society, American Urologic Association, American College of Physicians, United States Preventive Services Task Force) advocate that patients receive education and complete an informed decision-making discussion with their medical providers about the pros and cons of the PSA test, as well as their personal preferences, before proceeding with this test. Unfortunately, despite these recommendations, there is seldom sufficient time during clinic visits to achieve this goal.","NO","Prostate Cancer Screening","OTHER: PSA flyer","Rate of PSA testing, Rate of PSA testing will be determined by reviewing the chart of enrolled patients within two weeks of their annual physical, At the time of the annual exam (within two weeks of their annual physical)|Rate of documented PSA discussions, Rate of documented PSA discussions will be determined through chart review within two weeks of the annual physical., At the time of the annual exam (within two weeks of their annual physical)","MALE","ADULT, OLDER_ADULT",NA,303,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SCREENING","2009-10","2010-08","2010-08","2012-01-25","","2012-01-25","University of Colorado Hospital, Aurora, Colorado, 80045, United States","other"
"10","NCT04347772","Effectiveness of Intensive Perioperative Nutrition Therapy Among Adults Undergoing Gastrointestinal & Oncology Surgery","UNKNOWN","Perioperative malnutrition is common in patients undergoing gastrointestinal and oncological surgery and it also associated with longer hospital stays, reduced responses to and increased complications from therapies, increased costs, poorer quality of life and lower survival rate. Evidence has shown that appropriate perioperative nutrition therapy have a significantly improve perioperative outcomes. Current practice emphasises the roles of early nutrition therapy as early intervention in order to combat the post-operative complications of patients and the implementation is now widely adopted. However, there is very limited data to date on the effects of perioperative nutrition therapy in patients before hospital admission, during hospital stay and after discharge to prevent the post-operative complications. Therefore, there is a need to study in this area in order to determine the effects of perioperative nutrition therapy to overcome the post-operative complications in patients undergoing surgery. This is a pragmatic randomized clinical trial will be conducted among sixty eight adults patient undergoing major elective surgery in Hospital Serdang. Participants will be randomized to one of two groups by means of sealed envelope into Intervention Group (SS) or Control Group (NN). All data will be collected during a face to face interview, blood sampling and direct anthropometric measurement with the participants at Hospital Serdang. The effects of intervention between treatment groups on outcome parameters will be carried out by using the SPSS General Linear Model (GLM) for repeated measure procedure. The perioperative nutrition therapy intervention implemented in the study will serve as a baseline data for providing an appropriate nutritional management in patients undergoing surgery.","NO","Perioperative Complication","DIETARY_SUPPLEMENT: Oral Nutrition Support","Length of Bowel function, To compare the effect of intensive perioperative nutrition therapy versus usual care on the length of bowel function. The duration of bowel start function post-operatively in hours or days will be recorded. The duration covers from zero hours after surgery until the first day of bowel function presented. The start of bowel function is the first day of commencement of any type of fluids or solid food given, 2 months|Length of solid food toleration, To compare the effect of intensive perioperative nutrition therapy versus usual care on the length of solid food toleration. The duration of solid food toleration post-operatively in hours or days will be recorded. The duration covers from zero hours after surgery until the first day of reintroduction of solid food., 2 months|Length of hospital stay, To compare the effect of intensive perioperative nutrition therapy versus usual care on the length of hospital stay. The duration of hospital stay in days will be recorded. The duration covers from the day of ward admission (before operation) until discharge (after operation)., 2 months","ALL","ADULT, OLDER_ADULT",NA,68,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2021-05-01","2021-12-31","2021-12-31","2020-04-15","","2021-05-04","Hospital Serdang, Kajang, Selangor, 43000, Malaysia","dietary_supplement"
